id,name,dialogue
0,,블랑쉬 왕국은 늘 평화로운 왕국이었다.
1,,작은 국토를 가졌기 때문인지 주변국들의 이권 싸움에도 블랑쉬 왕국만은 늘 평온했으며
2,,이런 분위기 덕인지 왕국의 국민들 대부분이 온화하고 느긋한 성품을 가지고 있었다.
3,,"그러던 어느 날, 마왕이 나타났다는 소식이 대륙 전역에 퍼졌다."
4,,"많은 나라에서 마왕을 경계하며 방어 태세를 갖추었지만,"
5,,이번에도 블랑쉬 왕국은 평소처럼 평화로울 거라 믿으며 느긋한 태도를 고수했다.
6,,그러나 이번만큼은 블랑쉬 왕국마저 소란을 피할 수 없었다.
7,,하나뿐인 블랑쉬 왕국의 공주님이 마왕에게 납치된 것이다.
8,,블랑쉬 왕국의 왕은 금지옥엽 아끼던 공주님이 사라지자 왕국의 모든 기사를 소집했다.
9,,"정예로만 구성된 기사단이 한 번, 두 번, 세 번..."
10,,"계속해서 마계로 보내졌지만, 모두 공주님의 흔적조차 찾지 못하고 돌아올 뿐이었다."
11,,왕은 최후의 수단으로 용병까지 소집하기 시작하지만
12,,오로지 돈을 위해 일하는 그들이 공주님을 구하기 위해 목숨을 걸 리가 없었다.
13,,결국 왕은 '위대한 용병왕'을 찾아 그에게 간절히 부탁한다.
14,,"그리고 '위대한 용병왕'은 공주를 구할 용사로서, 동료를 모집해 길을 떠나기로 한다..."
15,{player_name},...
16,샐리,"- 그래서,"
17,샐리,그 위대한 용병왕이 본인이다?
18,{player_name},...그렇다니까요.
19,샐리,흠...
20,{player_name},"(그래, 안 믿기겠지.)"
21,{player_name},(애초에 사기치다가 우연히 생긴 거짓 소문인데-)
22,샐리,"뭐, 이 증표가 거짓인 것 같진 않네요."
23,샐리,"일단 그 15일 동안에만 이 집을 내어줄 테니,"
24,샐리,"기한이 끝나면 곧장 집을 비워줘야 해요, 꼭!"
25,{player_name},"감사합니다, 아주머니!"
26,{player_name},하아... 일단 집은 구했네.
27,{player_name},...내가 어쩌다 이런 일에 엮여선.
28,{player_name},아- 모르겠다. 지금 이럴 시간이 없어.
29,{player_name},빨리 그 유명하다는 검사 용병을 찾아야 해.
30,{player_name},일단 관련된 정보라도 찾아보자...
100,,[마을을 돌아다니며 정보를 수집해봅시다. (0/3)]
